Vivado Simulator 2019.1
Time resolution is 1 ps
Time =                    0 | reset = 1 | sensor = 0000 | AF = x | BF = x | LED = 0 | SF = x | anodes = xxxx | cathodes = xxxxxxx
Time =         102000050000 | reset = 0 | sensor = 1001 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1110 | cathodes = 1111010
Time =         104000030000 | reset = 0 | sensor = 1001 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1101 | cathodes = 1111010
Time =         105000070000 | reset = 0 | sensor = 1001 | AF = 0 | BF = 1 | LED = 1 | SF = 1 | anodes = 1101 | cathodes = 1111010
Time =         105000090000 | reset = 0 | sensor = 1001 | AF = 0 | BF = 1 | LED = 1 | SF = 1 | anodes = 1101 | cathodes = 0000001
Time =         106000030000 | reset = 0 | sensor = 1001 | AF = 0 | BF = 1 | LED = 1 | SF = 1 | anodes = 1011 | cathodes = 0000001
Time =         108000030000 | reset = 0 | sensor = 1001 | AF = 0 | BF = 1 | LED = 1 | SF = 1 | anodes = 1111 | cathodes = 0000001
Time =         108000050000 | reset = 0 | sensor = 1001 | AF = 0 | BF = 1 | LED = 1 | SF = 1 | anodes = 1110 | cathodes = 0000001
Time =         110000030000 | reset = 0 | sensor = 1001 | AF = 0 | BF = 1 | LED = 1 | SF = 1 | anodes = 1101 | cathodes = 0000001
Time =         112000030000 | reset = 0 | sensor = 1001 | AF = 0 | BF = 1 | LED = 1 | SF = 1 | anodes = 1011 | cathodes = 0000001
Time =         114000030000 | reset = 0 | sensor = 1001 | AF = 0 | BF = 1 | LED = 1 | SF = 1 | anodes = 1111 | cathodes = 0000001
Time =         114000050000 | reset = 0 | sensor = 1001 | AF = 0 | BF = 1 | LED = 1 | SF = 1 | anodes = 1110 | cathodes = 0000001
Time =         115000070000 | reset = 0 | sensor = 1001 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1110 | cathodes = 0000001
Time =         116000030000 | reset = 0 | sensor = 1001 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1101 | cathodes = 0000001
Time =         118000030000 | reset = 0 | sensor = 1001 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1011 | cathodes = 0000001
Time =         120000030000 | reset = 0 | sensor = 1001 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1111 | cathodes = 0000001
Time =         120000050000 | reset = 0 | sensor = 1001 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1110 | cathodes = 0000001
Time =         122000030000 | reset = 0 | sensor = 1001 | AF = 0 | BF = 1 | LED = 0 | SF = 1 | anodes = 1101 | cathodes = 0000001
